Date,Server_ID,Data_Center_Location,CPU_Utilisation (%),Memory_Utilisation (%),Energy_Consumption_kWh,Temperature_Celsius,PUE,Carbon_Intensity_gCO2/kWh,Total_CO2_kg,Threshold_Breach
2025-06-05,S3,Ireland,45.89,49.28,19.96,36.3,1.53,250,4.99,No
2025-06-06,S3,Ireland,74.76,63.46,18.31,35.1,1.27,250,4.58,No
2025-06-07,S3,Ireland,85.01,46.21,9.62,28.9,1.45,250,2.4,No
2025-06-08,S3,Ireland,23.68,62.28,23.92,31.6,1.37,250,5.98,No
2025-06-09,S3,Ireland,37.66,93.38,23.21,35.1,1.66,250,5.8,No
2025-06-10,S3,Ireland,31.08,25.73,8.69,25.1,1.35,250,2.17,No
2025-06-11,S3,Ireland,68.78,54.23,9.44,29.2,1.74,250,2.36,No
2025-06-12,S3,Ireland,25.74,87.11,8.27,32.7,1.53,250,2.07,No
2025-06-13,S3,Ireland,46.8,68.1,7.57,29.6,1.99,250,1.89,No
2025-06-14,S3,Ireland,42.88,74.56,5.49,35.9,1.27,250,1.37,No
2025-06-15,S3,Ireland,52.07,69.82,22.73,28.6,1.25,250,5.68,No
2025-06-16,S3,Ireland,35.37,47.75,15.03,31.8,1.99,250,3.76,No
2025-06-17,S3,Ireland,69.34,45.61,10.38,28.2,1.6,250,2.6,No
2025-06-18,S3,Ireland,21.45,23.4,21.96,28.4,1.43,250,5.49,No
2025-06-19,S3,Ireland,73.14,73.63,19.13,25.4,1.71,250,4.78,No
2025-06-20,S3,Ireland,63.9,35.55,19.07,30.1,1.23,250,4.77,No
2025-06-21,S3,Ireland,54.0,86.28,5.31,29.2,1.55,250,1.33,No
2025-06-22,S3,Ireland,77.36,88.96,10.13,31.6,1.62,250,2.53,No
2025-06-23,S3,Ireland,26.68,48.76,19.91,35.5,1.21,250,4.98,No
2025-06-24,S3,Ireland,36.64,33.49,23.89,35.1,1.27,250,5.97,No
2025-06-25,S3,Ireland,47.76,83.12,7.05,30.5,1.29,250,1.76,No
2025-06-26,S3,Ireland,50.34,93.73,23.73,34.6,1.81,250,5.93,No
2025-06-27,S3,Ireland,40.49,66.83,22.53,29.5,1.33,250,5.63,No
2025-06-28,S3,Ireland,49.27,90.48,10.18,34.6,1.49,250,2.54,No
2025-06-29,S3,Ireland,68.8,75.27,21.17,26.2,1.72,250,5.29,No
2025-06-30,S3,Ireland,61.6,56.6,12.04,29.7,1.5,250,3.01,No
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No
2025-06-03,S4,Ireland,84.38,58.23,14.32,37.3,1.44,250,3.58,No
2025-06-04,S4,Ireland,46.41,81.27,9.39,26.7,1.29,250,2.35,No
2025-06-05,S4,Ireland,28.98,39.63,10.46,37.5,1.81,250,2.62,No
2025-06-06,S4,Ireland,54.23,36.62,6.76,31.6,1.93,250,1.69,No
2025-06-07,S4,Ireland,59.34,57.26,11.59,28.0,1.58,250,2.9,No
2025-06-08,S4,Ireland,40.74,69.14,19.45,26.7,1.26,250,4.86,No
2025-06-09,S4,Ireland,66.57,44.99,13.55,31.1,1.98,250,3.39,No
2025-06-10,S4,Ireland,89.86,53.1,12.7,26.0,1.43,250,3.17,No
2025-06-11,S4,Ireland,10.97,68.61,21.49,30.3,1.92,250,5.37,No
2025-06-12,S4,Ireland,33.95,32.46,11.08,27.8,1.56,250,2.77,No
2025-06-13,S4,Ireland,18.14,32.42,17.89,36.2,1.47,250,4.47,No
2025-06-14,S4,Ireland,26.67,59.06,14.87,29.7,1.63,250,3.72,No
2025-06-15,S4,Ireland,12.32,57.34,13.31,36.4,1.61,250,3.33,No
2025-06-16,S4,Ireland,86.04,61.91,6.05,28.3,1.59,250,1.51,No
2025-06-17,S4,Ireland,14.12,52.95,5.76,39.5,1.85,250,1.44,No
2025-06-18,S4,Ireland,69.92,82.59,16.99,26.8,1.36,250,4.25,No
2025-06-19,S4,Ireland,74.93,21.32,9.46,27.9,1.47,250,2.37,No
2025-06-20,S4,Ireland,77.82,37.69,21.06,35.1,1.52,250,5.26,No
2025-06-21,S4,Ireland,13.49,47.71,22.22,31.9,1.86,250,5.55,No
2025-06-22,S4,Ireland,41.58,74.33,13.8,39.9,1.31,250,3.45,No
2025-06-23,S4,Ireland,85.23,68.89,12.12,32.4,1.58,250,3.03,No
2025-06-24,S4,Ireland,78.23,67.98,11.01,26.6,1.67,250,2.75,No
2025-06-25,S4,Ireland,82.57,72.69,10.9,27.8,1.6,250,2.73,No
2025-06-26,S4,Ireland,21.65,49.5,23.64,27.7,1.37,250,5.91,No
2025-06-27,S4,Ireland,26.03,77.43,8.86,33.9,1.48,250,2.21,No
2025-06-28,S4,Ireland,74.42,51.61,6.7,32.2,1.98,250,1.68,No
2025-06-29,S4,Ireland,51.47,89.54,11.79,35.8,1.69,250,2.95,No
2025-06-30,S4,Ireland,41.64,71.95,19.09,36.1,1.71,250,4.77,No
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No
2025-06-03,S5,Germany,89.74,48.78,20.12,25.3,1.44,350,7.04,No
2025-06-04,S5,Germany,76.9,77.67,9.08,31.0,1.84,350,3.18,No
2025-06-05,S5,Germany,53.88,38.55,24.54,37.8,1.35,350,8.59,No
2025-06-06,S5,Germany,46.13,57.83,5.89,30.3,1.54,350,2.06,No
2025-06-07,S5,Germany,84.04,50.34,16.83,33.3,1.76,350,5.89,No
2025-06-08,S5,Germany,51.1,44.66,15.93,36.5,1.58,350,5.58,No
2025-06-09,S5,Germany,25.37,71.55,16.27,27.2,1.59,350,5.69,No
2025-06-10,S5,Germany,39.11,20.35,19.68,25.8,1.26,350,6.89,No
2025-06-11,S5,Germany,41.13,60.6,21.68,25.5,1.56,350,7.59,No
2025-06-12,S5,Germany,63.86,63.16,10.57,38.9,1.41,350,3.7,No
2025-06-13,S5,Germany,22.19,81.68,24.53,31.7,1.4,350,8.59,No
2025-06-14,S5,Germany,83.17,44.74,15.88,38.4,1.38,350,5.56,No
2025-06-15,S5,Germany,12.24,67.48,8.76,34.0,1.43,350,3.07,No
2025-06-16,S5,Germany,12.62,54.09,14.42,40.0,1.34,350,5.05,No
2025-06-17,S5,Germany,84.76,73.35,20.72,27.4,1.87,350,7.25,No
2025-06-18,S5,Germany,84.92,70.62,11.76,39.1,2.0,350,4.12,No
2025-06-19,S5,Germany,48.84,94.41,22.04,29.9,1.37,350,7.71,No
2025-06-20,S5,Germany,74.8,70.41,9.91,30.7,1.25,350,3.47,No
2025-06-21,S5,Germany,84.48,62.19,6.54,35.8,1.87,350,2.29,No
2025-06-22,S5,Germany,85.11,92.27,6.48,27.8,1.62,350,2.27,No
2025-06-23,S5,Germany,36.32,58.54,19.71,34.1,1.3,350,6.9,No
2025-06-24,S5,Germany,82.22,78.58,9.99,32.5,1.74,350,3.5,No
2025-06-25,S5,Germany,25.26,46.68,23.03,36.8,1.41,350,8.06,No
2025-06-26,S5,Germany,79.2,76.24,7.0,29.4,1.78,350,2.45,No
2025-06-27,S5,Germany,13.78,22.13,11.43,27.9,1.87,350,4.0,No
2025-06-28,S5,Germany,80.37,86.89,5.21,30.8,1.49,350,1.82,No
2025-06-29,S5,Germany,40.11,35.4,22.72,37.8,1.41,350,7.95,No
2025-06-30,S5,Germany,70.21,59.87,9.22,30.9,1.96,350,3.23,No
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No
2025-06-02,S6,Norway,46.13,30.41,24.91,38.9,1.99,50,1.25,No
2025-06-03,S6,Norway,10.55,24.22,9.33,30.4,1.46,50,0.47,No
2025-06-04,S6,Norway,53.94,48.16,16.44,33.6,1.9,50,0.82,No
2025-06-05,S6,Norway,23.99,63.3,14.42,39.9,1.31,50,0.72,No
2025-06-06,S6,Norway,27.4,73.53,5.8,31.7,1.32,50,0.29,No
2025-06-07,S6,Norway,60.49,85.04,19.66,37.7,1.35,50,0.98,No
2025-06-08,S6,Norway,78.36,37.22,5.44,34.4,1.45,50,0.27,No
2025-06-09,S6,Norway,40.72,75.92,16.19,33.8,1.25,50,0.81,No
2025-06-10,S6,Norway,32.51,38.74,14.65,36.5,1.92,50,0.73,No
2025-06-11,S6,Norway,54.19,25.4,20.76,39.1,1.72,50,1.04,No
2025-06-12,S6,Norway,84.55,58.92,11.56,39.5,1.54,50,0.58,No
2025-06-13,S6,Norway,47.74,74.89,17.4,29.4,1.85,50,0.87,No
2025-06-14,S6,Norway,76.1,69.13,10.7,28.6,1.55,50,0.54,No
2025-06-15,S6,Norway,26.92,48.27,16.62,35.4,1.33,50,0.83,No
2025-06-16,S6,Norway,70.44,79.71,24.07,39.8,1.55,50,1.2,No
2025-06-17,S6,Norway,49.85,54.43,24.55,26.3,1.79,50,1.23,No
2025-06-18,S6,Norway,44.01,89.5,12.87,28.3,1.39,50,0.64,No
2025-06-19,S6,Norway,61.32,31.47,11.36,34.5,1.34,50,0.57,No
2025-06-20,S6,Norway,17.43,52.21,23.71,38.9,1.49,50,1.19,No
2025-06-21,S6,Norway,62.31,44.23,17.3,27.6,1.96,50,0.86,No
2025-06-22,S6,Norway,21.23,21.86,9.1,27.2,1.28,50,0.46,No
2025-06-23,S6,Norway,54.43,94.06,18.84,25.6,1.78,50,0.94,No
2025-06-24,S6,Norway,65.9,76.71,12.25,31.3,1.77,50,0.61,No
2025-06-25,S6,Norway,65.11,83.19,15.95,36.7,1.34,50,0.8,No
2025-06-26,S6,Norway,49.12,56.68,18.73,36.0,1.36,50,0.94,No
2025-06-27,S6,Norway,50.45,84.87,16.42,36.4,1.24,50,0.82,No
2025-06-28,S6,Norway,66.5,59.59,17.65,32.8,1.58,50,0.88,No
2025-06-29,S6,Norway,36.76,65.43,7.08,27.1,1.37,50,0.35,No
2025-06-30,S6,Norway,29.64,94.87,21.2,30.4,1.76,50,1.06,No
2025-06-01,S7,Germany,78.7,46.74,7.93,25.5,1.83,350,2.78,No
2025-06-02,S7,Germany,35.29,51.61,13.46,36.4,1.69,350,4.71,No
2025-06-03,S7,Germany,42.21,83.55,22.14,37.5,1.32,350,7.75,No
2025-06-04,S7,Germany,32.1,71.95,10.18,34.5,1.8,350,3.56,No
2025-06-05,S7,Germany,48.09,75.88,14.21,32.7,1.99,350,4.97,No
2025-06-06,S7,Germany,36.02,55.46,12.8,31.6,1.59,350,4.48,No
2025-06-07,S7,Germany,42.13,34.54,13.72,35.5,1.3,350,4.8,No
2025-06-08,S7,Germany,78.74,66.09,17.13,33.9,1.32,350,6.0,No
2025-06-09,S7,Germany,89.68,87.87,9.79,39.0,1.8,350,3.43,No
2025-06-10,S7,Germany,14.49,55.24,12.43,33.9,1.86,350,4.35,No
2025-06-11,S7,Germany,60.91,72.48,23.71,35.9,1.99,350,8.3,No
2025-06-12,S7,Germany,22.93,46.49,9.01,25.8,1.38,350,3.15,No
2025-06-13,S7,Germany,86.15,67.93,10.29,25.2,1.86,350,3.6,No
2025-06-14,S7,Germany,50.3,29.24,7.48,36.9,1.77,350,2.62,No
2025-06-15,S7,Germany,28.29,27.6,22.89,29.6,1.29,350,8.01,No
2025-06-16,S7,Germany,79.71,73.09,21.17,31.9,1.22,350,7.41,No
2025-06-17,S7,Germany,65.77,88.61,6.06,29.7,1.78,350,2.12,No
2025-06-18,S7,Germany,48.3,53.58,11.02,30.3,1.66,350,3.86,No
2025-06-19,S7,Germany,76.95,71.96,7.32,26.9,1.27,350,2.56,No
2025-06-20,S7,Germany,38.13,30.96,17.37,30.5,1.97,350,6.08,No
2025-06-21,S7,Germany,30.98,42.73,20.22,27.2,1.45,350,7.08,No
2025-06-22,S7,Germany,34.1,53.43,12.94,36.5,1.26,350,4.53,No
2025-06-23,S7,Germany,64.43,32.08,24.93,33.9,1.38,350,8.73,No
2025-06-24,S7,Germany,73.03,63.09,7.33,35.3,1.57,350,2.57,No
2025-06-25,S7,Germany,30.38,93.15,10.19,38.8,1.51,350,3.57,No
2025-06-26,S7,Germany,45.3,86.85,5.84,34.6,1.88,350,2.04,No
2025-06-27,S7,Germany,53.67,43.54,19.87,28.8,1.79,350,6.95,No
2025-06-28,S7,Germany,79.93,35.16,13.23,32.8,1.87,350,4.63,No
2025-06-29,S7,Germany,29.3,91.1,24.42,27.3,1.36,350,8.55,No
2025-06-30,S7,Germany,64.93,70.35,23.85,30.3,1.65,350,8.35,No
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No
2025-06-02,S8,Germany,51.8,57.42,14.55,25.0,1.46,350,5.09,No
2025-06-03,S8,Germany,57.16,47.08,10.03,27.1,1.28,350,3.51,No
2025-06-04,S8,Germany,77.69,58.59,18.22,27.5,1.43,350,6.38,No
2025-06-05,S8,Germany,53.34,75.01,10.33,29.0,1.81,350,3.62,No
2025-06-06,S8,Germany,20.99,56.15,21.75,39.5,1.45,350,7.61,No
2025-06-07,S8,Germany,38.27,37.94,5.63,31.7,1.85,350,1.97,No
2025-06-08,S8,Germany,13.08,92.79,14.16,28.0,1.52,350,4.96,No
2025-06-09,S8,Germany,86.07,61.03,13.53,37.4,1.48,350,4.74,No
2025-06-10,S8,Germany,65.47,47.36,10.49,33.5,1.61,350,3.67,No
2025-06-11,S8,Germany,81.65,87.39,19.84,34.1,1.88,350,6.94,No
2025-06-12,S8,Germany,11.31,31.39,8.74,33.2,1.23,350,3.06,No
2025-06-13,S8,Germany,31.74,78.55,21.58,31.8,1.41,350,7.55,No
2025-06-14,S8,Germany,88.57,22.22,15.48,33.2,1.53,350,5.42,No
2025-06-15,S8,Germany,18.9,40.85,23.82,36.5,1.87,350,8.34,No
2025-06-16,S8,Germany,10.65,75.02,19.33,35.6,1.97,350,6.77,No
2025-06-17,S8,Germany,14.75,93.34,24.47,34.3,1.84,350,8.56,No
2025-06-18,S8,Germany,24.38,87.39,16.52,27.8,1.71,350,5.78,No
2025-06-19,S8,Germany,65.49,65.33,13.28,35.6,1.64,350,4.65,No
2025-06-20,S8,Germany,25.72,60.96,17.24,33.3,1.45,350,6.03,No
2025-06-21,S8,Germany,78.85,41.29,13.15,32.4,1.87,350,4.6,No
2025-06-22,S8,Germany,84.96,83.16,24.6,30.6,1.89,350,8.61,No
2025-06-23,S8,Germany,64.09,22.68,13.03,37.7,1.49,350,4.56,No
2025-06-24,S8,Germany,60.32,87.75,20.41,32.6,1.52,350,7.14,No
2025-06-25,S8,Germany,85.78,75.25,17.99,35.9,1.42,350,6.3,No
2025-06-26,S8,Germany,41.14,37.76,12.65,28.5,1.61,350,4.43,No
2025-06-27,S8,Germany,67.46,93.49,15.22,27.4,1.65,350,5.33,No
2025-06-28,S8,Germany,28.14,75.29,6.2,28.8,1.64,350,2.17,No
2025-06-29,S8,Germany,16.16,57.28,14.74,30.6,1.61,350,5.16,No
2025-06-30,S8,Germany,12.31,94.83,21.36,25.4,1.22,350,7.48,No
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No
2025-06-03,S9,Ireland,16.86,75.37,8.25,29.5,1.71,250,2.06,No
2025-06-04,S9,Ireland,70.2,49.23,8.06,25.2,1.7,250,2.02,No
2025-06-05,S9,Ireland,29.28,42.16,19.03,35.5,1.63,250,4.76,No
2025-06-06,S9,Ireland,63.88,57.29,19.35,34.0,1.36,250,4.84,No
2025-06-07,S9,Ireland,47.58,94.01,20.22,26.1,1.51,250,5.05,No
2025-06-08,S9,Ireland,60.08,83.97,19.62,33.1,1.32,250,4.91,No
2025-06-09,S9,Ireland,78.95,48.94,8.75,25.9,1.79,250,2.19,No
2025-06-10,S9,Ireland,77.62,47.32,14.11,36.9,1.84,250,3.53,No
2025-06-11,S9,Ireland,25.96,66.96,18.23,33.3,1.57,250,4.56,No
2025-06-12,S9,Ireland,22.48,26.53,16.99,26.7,1.6,250,4.25,No
2025-06-13,S9,Ireland,41.88,65.95,21.21,35.1,1.6,250,5.3,No
2025-06-14,S9,Ireland,83.15,48.58,20.76,34.8,1.45,250,5.19,No
2025-06-15,S9,Ireland,53.71,54.06,24.15,31.1,1.93,250,6.04,No
2025-06-16,S9,Ireland,50.35,62.37,19.56,29.2,1.88,250,4.89,No
2025-06-17,S9,Ireland,22.76,54.95,14.18,28.8,1.63,250,3.54,No
2025-06-18,S9,Ireland,73.74,22.51,20.04,32.5,1.8,250,5.01,No
2025-06-19,S9,Ireland,17.29,77.51,8.6,25.5,1.92,250,2.15,No
2025-06-20,S9,Ireland,29.26,74.53,20.05,26.0,1.91,250,5.01,No
2025-06-21,S9,Ireland,86.6,51.59,16.13,32.6,1.52,250,4.03,No
2025-06-22,S9,Ireland,45.01,45.4,22.29,37.7,1.63,250,5.57,No
2025-06-23,S9,Ireland,69.99,60.93,10.33,37.0,1.67,250,2.58,No
2025-06-24,S9,Ireland,57.32,50.0,9.89,25.6,1.4,250,2.47,No
2025-06-25,S9,Ireland,37.45,69.33,12.42,34.1,1.79,250,3.1,No
2025-06-26,S9,Ireland,53.24,77.06,19.22,33.8,1.57,250,4.8,No
2025-06-27,S9,Ireland,35.37,43.52,9.11,35.2,2.0,250,2.28,No
2025-06-28,S9,Ireland,52.89,39.82,15.92,27.5,1.99,250,3.98,No
2025-06-29,S9,Ireland,71.77,62.11,18.44,31.8,1.79,250,4.61,No
2025-06-30,S9,Ireland,73.96,29.84,13.4,37.7,1.22,250,3.35,No
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No
2025-06-03,S10,Germany,34.44,76.45,21.1,27.4,1.59,350,7.39,No
2025-06-04,S10,Germany,85.7,78.34,21.68,31.2,1.38,350,7.59,No
2025-06-05,S10,Germany,60.2,94.76,24.98,26.9,1.96,350,8.74,No
2025-06-06,S10,Germany,73.66,49.58,24.03,27.4,1.47,350,8.41,No
2025-06-07,S10,Germany,34.56,42.58,18.42,28.0,1.73,350,6.45,No
2025-06-08,S10,Germany,36.69,26.63,16.18,26.4,1.85,350,5.66,No
2025-06-09,S10,Germany,26.42,38.44,19.67,31.4,1.27,350,6.88,No
2025-06-10,S10,Germany,44.6,88.95,11.72,33.0,1.36,350,4.1,No
2025-06-11,S10,Germany,29.97,69.33,19.15,35.5,1.87,350,6.7,No
2025-06-12,S10,Germany,20.32,60.63,17.51,31.7,1.55,350,6.13,No
2025-06-13,S10,Germany,18.08,90.46,21.65,29.3,1.2,350,7.58,No
2025-06-14,S10,Germany,75.06,29.83,8.62,27.8,1.61,350,3.02,No
2025-06-15,S10,Germany,74.8,41.11,14.64,37.7,1.66,350,5.12,No
2025-06-16,S10,Germany,27.02,94.97,8.38,30.1,1.79,350,2.93,No
2025-06-17,S10,Germany,33.07,71.7,16.89,29.4,1.59,350,5.91,No
2025-06-18,S10,Germany,67.69,43.03,13.67,35.3,1.84,350,4.78,No
2025-06-19,S10,Germany,19.55,46.4,10.14,38.0,1.33,350,3.55,No
2025-06-20,S10,Germany,25.88,20.31,6.13,26.3,1.96,350,2.15,No
2025-06-21,S10,Germany,44.83,57.06,20.95,38.5,1.34,350,7.33,No
2025-06-22,S10,Germany,40.81,59.29,12.33,25.4,1.69,350,4.32,No
2025-06-23,S10,Germany,66.7,28.57,9.32,34.2,1.88,350,3.26,No
2025-06-24,S10,Germany,64.52,37.98,7.39,39.1,1.81,350,2.59,No
2025-06-25,S10,Germany,29.75,89.4,12.88,29.6,1.32,350,4.51,No
2025-06-26,S10,Germany,68.46,44.18,23.41,37.3,1.57,350,8.19,No
2025-06-27,S10,Germany,41.21,55.68,24.96,25.4,1.82,350,8.74,No
2025-06-28,S10,Germany,67.49,25.65,14.6,33.9,1.68,350,5.11,No
2025-06-29,S10,Germany,41.27,29.81,23.99,34.6,1.32,350,8.4,No
2025-06-30,S10,Germany,54.07,51.14,17.93,37.3,1.41,350,6.28,No
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No
2025-06-02,S11,Norway,79.48,79.17,8.61,38.0,1.51,50,0.43,No
2025-06-03,S11,Norway,52.7,45.77,9.44,25.4,1.89,50,0.47,No
2025-06-04,S11,Norway,65.05,44.36,5.69,32.4,1.88,50,0.28,No
2025-06-05,S11,Norway,23.54,45.55,24.09,31.4,1.86,50,1.2,No
2025-06-06,S11,Norway,73.11,49.22,5.89,39.3,1.54,50,0.29,No
2025-06-07,S11,Norway,20.86,24.74,24.98,32.7,1.29,50,1.25,No
2025-06-08,S11,Norway,69.78,50.9,5.41,31.5,1.83,50,0.27,No
2025-06-09,S11,Norway,51.45,49.84,23.87,28.6,1.94,50,1.19,No
2025-06-10,S11,Norway,50.21,46.46,21.63,29.2,1.7,50,1.08,No
2025-06-11,S11,Norway,44.97,82.07,11.29,30.0,1.9,50,0.56,No
2025-06-12,S11,Norway,19.35,60.24,9.41,27.3,1.55,50,0.47,No
2025-06-13,S11,Norway,59.03,81.33,13.44,28.7,1.23,50,0.67,No
2025-06-14,S11,Norway,48.1,59.12,5.5,34.9,1.7,50,0.28,No
2025-06-15,S11,Norway,85.25,86.33,16.72,35.0,1.52,50,0.84,No
2025-06-16,S11,Norway,14.84,51.72,8.58,33.1,1.35,50,0.43,No
2025-06-17,S11,Norway,36.25,56.6,15.75,29.4,1.65,50,0.79,No
2025-06-18,S11,Norway,13.84,71.32,12.59,28.8,1.58,50,0.63,No
2025-06-19,S11,Norway,79.21,64.2,7.62,36.5,1.24,50,0.38,No
2025-06-20,S11,Norway,80.31,54.3,13.25,39.6,1.2,50,0.66,No
2025-06-21,S11,Norway,48.13,68.7,13.88,25.6,1.88,50,0.69,No
2025-06-22,S11,Norway,81.69,91.84,19.93,29.5,1.35,50,1.0,No
2025-06-23,S11,Norway,23.53,27.8,19.27,35.6,1.47,50,0.96,No
2025-06-24,S11,Norway,20.01,33.69,12.86,39.0,1.3,50,0.64,No
2025-06-25,S11,Norway,34.08,30.94,10.66,36.2,1.66,50,0.53,No
