Date,Server_ID,Data_Center_Location,CPU_Utilisation (%),Memory_Utilisation (%),Energy_Consumption_kWh,Temperature_Celsius,PUE,Carbon_Intensity_gCO2/kWh,Total_CO2_kg,Threshold_Breach,Latitude,Longitude,Time,DateTime
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,10:45:00,2025-06-01 10:45:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,11:00:00,2025-06-01 11:00:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,11:15:00,2025-06-01 11:15:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,11:30:00,2025-06-01 11:30:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,11:45:00,2025-06-01 11:45:00
2025-06-01,S2,Ireland,45.87,54.92,19.35,30.2,1.27,250,4.84,No,53.1424,-7.6921,12:00:00,2025-06-01 12:00:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,12:15:00,2025-06-01 12:15:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,12:30:00,2025-06-01 12:30:00
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No,60.472,8.4689,12:45:00,2025-06-01 12:45:00
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No,51.1657,10.4515,13:00:00,2025-06-01 13:00:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,13:15:00,2025-06-01 13:15:00
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No,51.1657,10.4515,13:30:00,2025-06-01 13:30:00
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No,51.1657,10.4515,13:45:00,2025-06-01 13:45:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,14:00:00,2025-06-01 14:00:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,14:15:00,2025-06-01 14:15:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,14:30:00,2025-06-01 14:30:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,14:45:00,2025-06-01 14:45:00
2025-06-01,S7,Germany,78.7,46.74,7.93,25.5,1.83,350,2.78,No,51.1657,10.4515,15:00:00,2025-06-01 15:00:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,15:15:00,2025-06-01 15:15:00
2025-06-01,S13,Norway,76.7,39.61,9.16,28.7,1.25,50,0.46,No,60.472,8.4689,15:30:00,2025-06-01 15:30:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,15:45:00,2025-06-01 15:45:00
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No,60.472,8.4689,16:00:00,2025-06-01 16:00:00
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No,51.1657,10.4515,16:15:00,2025-06-01 16:15:00
2025-06-01,S15,Germany,24.29,73.01,20.83,32.1,1.59,350,7.29,No,51.1657,10.4515,16:30:00,2025-06-01 16:30:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,16:45:00,2025-06-01 16:45:00
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No,53.1424,-7.6921,17:00:00,2025-06-01 17:00:00
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No,51.1657,10.4515,17:15:00,2025-06-01 17:15:00
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No,53.1424,-7.6921,17:30:00,2025-06-01 17:30:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,17:45:00,2025-06-01 17:45:00
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No,60.472,8.4689,18:00:00,2025-06-01 18:00:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,18:15:00,2025-06-01 18:15:00
2025-06-01,S15,Germany,24.29,73.01,20.83,32.1,1.59,350,7.29,No,51.1657,10.4515,18:30:00,2025-06-01 18:30:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,18:45:00,2025-06-01 18:45:00
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No,51.1657,10.4515,19:00:00,2025-06-01 19:00:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,19:15:00,2025-06-01 19:15:00
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No,51.1657,10.4515,19:30:00,2025-06-01 19:30:00
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No,51.1657,10.4515,19:45:00,2025-06-01 19:45:00
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No,60.472,8.4689,20:00:00,2025-06-01 20:00:00
2025-06-01,S2,Ireland,45.87,54.92,19.35,30.2,1.27,250,4.84,No,53.1424,-7.6921,20:15:00,2025-06-01 20:15:00
2025-06-01,S2,Ireland,45.87,54.92,19.35,30.2,1.27,250,4.84,No,53.1424,-7.6921,20:30:00,2025-06-01 20:30:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,20:45:00,2025-06-01 20:45:00
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No,53.1424,-7.6921,21:00:00,2025-06-01 21:00:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,21:15:00,2025-06-01 21:15:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,21:30:00,2025-06-01 21:30:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,21:45:00,2025-06-01 21:45:00
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No,51.1657,10.4515,22:00:00,2025-06-01 22:00:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,22:15:00,2025-06-01 22:15:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,22:30:00,2025-06-01 22:30:00
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No,60.472,8.4689,22:45:00,2025-06-01 22:45:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,23:00:00,2025-06-01 23:00:00
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No,53.1424,-7.6921,23:15:00,2025-06-01 23:15:00
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No,51.1657,10.4515,23:30:00,2025-06-01 23:30:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,23:45:00,2025-06-01 23:45:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,00:00:00,2025-06-02 00:00:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,00:15:00,2025-06-02 00:15:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,00:30:00,2025-06-02 00:30:00
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No,53.1424,-7.6921,00:45:00,2025-06-02 00:45:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,01:00:00,2025-06-02 01:00:00
2025-06-02,S11,Norway,79.48,79.17,8.61,38.0,1.51,50,0.43,No,60.472,8.4689,01:15:00,2025-06-02 01:15:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,01:30:00,2025-06-02 01:30:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,01:45:00,2025-06-02 01:45:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,02:00:00,2025-06-02 02:00:00
2025-06-02,S7,Germany,35.29,51.61,13.46,36.4,1.69,350,4.71,No,51.1657,10.4515,02:15:00,2025-06-02 02:15:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,02:30:00,2025-06-02 02:30:00
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No,53.1424,-7.6921,02:45:00,2025-06-02 02:45:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,03:00:00,2025-06-02 03:00:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,03:15:00,2025-06-02 03:15:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,03:30:00,2025-06-02 03:30:00
2025-06-02,S7,Germany,35.29,51.61,13.46,36.4,1.69,350,4.71,No,51.1657,10.4515,03:45:00,2025-06-02 03:45:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,04:00:00,2025-06-02 04:00:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,04:15:00,2025-06-02 04:15:00
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No,53.1424,-7.6921,04:30:00,2025-06-02 04:30:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,04:45:00,2025-06-02 04:45:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,05:00:00,2025-06-02 05:00:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,05:15:00,2025-06-02 05:15:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,05:30:00,2025-06-02 05:30:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,05:45:00,2025-06-02 05:45:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,06:00:00,2025-06-02 06:00:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,06:15:00,2025-06-02 06:15:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,06:30:00,2025-06-02 06:30:00
2025-06-02,S6,Norway,46.13,30.41,24.91,38.9,1.99,50,1.25,No,60.472,8.4689,06:45:00,2025-06-02 06:45:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,07:00:00,2025-06-02 07:00:00
2025-06-02,S11,Norway,79.48,79.17,8.61,38.0,1.51,50,0.43,No,60.472,8.4689,07:15:00,2025-06-02 07:15:00
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No,53.1424,-7.6921,07:30:00,2025-06-02 07:30:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,07:45:00,2025-06-02 07:45:00
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No,53.1424,-7.6921,08:00:00,2025-06-02 08:00:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,08:15:00,2025-06-02 08:15:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,08:30:00,2025-06-02 08:30:00
2025-06-02,S8,Germany,51.8,57.42,14.55,25.0,1.46,350,5.09,No,51.1657,10.4515,08:45:00,2025-06-02 08:45:00
2025-06-02,S8,Germany,51.8,57.42,14.55,25.0,1.46,350,5.09,No,51.1657,10.4515,09:00:00,2025-06-02 09:00:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,09:15:00,2025-06-02 09:15:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,09:30:00,2025-06-02 09:30:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,09:45:00,2025-06-02 09:45:00
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No,53.1424,-7.6921,10:00:00,2025-06-02 10:00:00
2025-06-02,S6,Norway,46.13,30.41,24.91,38.9,1.99,50,1.25,No,60.472,8.4689,10:15:00,2025-06-02 10:15:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,10:30:00,2025-06-02 10:30:00
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No,53.1424,-7.6921,10:45:00,2025-06-02 10:45:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,11:00:00,2025-06-02 11:00:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,11:15:00,2025-06-02 11:15:00
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No,53.1424,-7.6921,11:30:00,2025-06-02 11:30:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,11:45:00,2025-06-02 11:45:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,12:00:00,2025-06-02 12:00:00
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No,53.1424,-7.6921,12:15:00,2025-06-02 12:15:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,12:30:00,2025-06-02 12:30:00
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No,53.1424,-7.6921,12:45:00,2025-06-02 12:45:00
2025-06-02,S8,Germany,51.8,57.42,14.55,25.0,1.46,350,5.09,No,51.1657,10.4515,13:00:00,2025-06-02 13:00:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,13:15:00,2025-06-02 13:15:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,13:30:00,2025-06-02 13:30:00
2025-06-02,S11,Norway,79.48,79.17,8.61,38.0,1.51,50,0.43,No,60.472,8.4689,13:45:00,2025-06-02 13:45:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,14:00:00,2025-06-02 14:00:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,14:15:00,2025-06-02 14:15:00
2025-06-02,S11,Norway,79.48,79.17,8.61,38.0,1.51,50,0.43,No,60.472,8.4689,14:30:00,2025-06-02 14:30:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,14:45:00,2025-06-02 14:45:00
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No,53.1424,-7.6921,15:00:00,2025-06-02 15:00:00
2025-06-02,S6,Norway,46.13,30.41,24.91,38.9,1.99,50,1.25,No,60.472,8.4689,15:15:00,2025-06-02 15:15:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,15:30:00,2025-06-02 15:30:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,15:45:00,2025-06-02 15:45:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,16:00:00,2025-06-02 16:00:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,16:15:00,2025-06-02 16:15:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,16:30:00,2025-06-02 16:30:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,16:45:00,2025-06-02 16:45:00
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No,60.472,8.4689,17:00:00,2025-06-02 17:00:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,17:15:00,2025-06-02 17:15:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,17:30:00,2025-06-02 17:30:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,17:45:00,2025-06-02 17:45:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,18:00:00,2025-06-02 18:00:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,18:15:00,2025-06-02 18:15:00
2025-06-02,S4,Ireland,20.66,57.42,5.11,25.5,1.37,250,1.28,No,53.1424,-7.6921,18:30:00,2025-06-02 18:30:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,18:45:00,2025-06-02 18:45:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,19:00:00,2025-06-02 19:00:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,19:15:00,2025-06-02 19:15:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,19:30:00,2025-06-02 19:30:00
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No,51.1657,10.4515,19:45:00,2025-06-02 19:45:00
2025-06-02,S11,Norway,79.48,79.17,8.61,38.0,1.51,50,0.43,No,60.472,8.4689,20:00:00,2025-06-02 20:00:00
2025-06-02,S7,Germany,35.29,51.61,13.46,36.4,1.69,350,4.71,No,51.1657,10.4515,20:15:00,2025-06-02 20:15:00
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No,53.1424,-7.6921,20:30:00,2025-06-02 20:30:00
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No,60.472,8.4689,20:45:00,2025-06-02 20:45:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,21:00:00,2025-06-02 21:00:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,21:15:00,2025-06-02 21:15:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,21:30:00,2025-06-02 21:30:00
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No,53.1424,-7.6921,21:45:00,2025-06-02 21:45:00
2025-06-02,S10,Germany,48.49,94.62,24.0,30.3,1.94,350,8.4,No,51.1657,10.4515,22:00:00,2025-06-02 22:00:00
2025-06-02,S7,Germany,35.29,51.61,13.46,36.4,1.69,350,4.71,No,51.1657,10.4515,22:15:00,2025-06-02 22:15:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,22:30:00,2025-06-02 22:30:00
2025-06-02,S8,Germany,51.8,57.42,14.55,25.0,1.46,350,5.09,No,51.1657,10.4515,22:45:00,2025-06-02 22:45:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,23:00:00,2025-06-02 23:00:00
2025-06-02,S9,Ireland,83.51,45.9,10.73,34.1,1.76,250,2.68,No,53.1424,-7.6921,23:15:00,2025-06-02 23:15:00
2025-06-02,S5,Germany,53.33,32.15,15.37,29.3,1.21,350,5.38,No,51.1657,10.4515,23:30:00,2025-06-02 23:30:00
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No,60.472,8.4689,23:45:00,2025-06-02 23:45:00
